CONTROL,KAMG_fl,Blue,Green,Red,RE1,RE2,RE3,NIR,RE4,SWIR1,SWIR2,NDVI,VH,VV,C,predicted
7:120:27,320,0.0875896738024443,0.07196655215583728,0.05025584394812605,0.07306767709775774,0.17154802857017237,0.20695325748533094,0.20045327581894348,0.2273424940670379,0.11461575910563507,0.051098350320187086,0.5944746162074079,-14.702125459306387,-10.26866613788639,89.01898677365755,107.99866770271817
7:42:101,320,0.08990354726570188,0.07279288046480714,0.04991669942953008,0.07324570596051397,0.16862901423218965,0.20554568585418606,0.1963197615229273,0.22615572344778553,0.11094369022201625,0.05090509714106443,0.5944420464469679,-15.463723403428668,-11.186675173013876,88.67260202671365,99.2291574679777
7:210:9,320,0.10205169816875435,0.08642702720000839,0.07421980182829793,0.09715543005441662,0.16909648009874234,0.19910076326799397,0.19374960126815677,0.2218931398975215,0.18971892343539798,0.11525718656292447,0.4481908875797234,-17.993668620469183,-13.14897601008554,86.7029838480995,70.32500128017855
1:127:11,400,0.08560146421805255,0.07029291589816838,0.04340018118246658,0.07114805164386284,0.1846053985091176,0.22456107662543773,0.22054702128628328,0.2510149760635198,0.12368680747327464,0.05085311762675941,0.6656127229512296,-15.091487053843736,-9.908084018175163,109.02775536750342,122.07302865926248
1:50:7,400,0.08385235943963422,0.06814666068052906,0.04445812600220709,0.07132100192884717,0.169825652172253,0.20736138150443315,0.20051418382357128,0.2298801019106357,0.11281116989865392,0.04944433175429876,0.6341479278898071,-14.909818471874756,-10.070813090206325,92.78715753821528,100.6962745897318
3:359:1,400,0.08535688306712558,0.06942325728504582,0.04598467617699006,0.07141466897092236,0.18098593389254364,0.2249512738315982,0.2186060537232887,0.25145060566844,0.1276567494158816,0.052739609547636165,0.6499530821615701,-14.897655647982505,-9.737044757212718,105.68693872845337,111.25296718290417
4:311:1,400,0.09644867912190942,0.08187255275425784,0.05833797826149993,0.083527361146735,0.18272972534040074,0.21935576601619677,0.2067094991161194,0.24241042718339995,0.1448046214733062,0.06836454396159064,0.5572652887705858,-15.101828399310033,-10.207186442898001,100.79207496722304,93.93671793612198
5:110:7,400,0.08494487913209363,0.06939867380853203,0.04896838721758919,0.07374500696493563,0.15748700182256148,0.18829115014311398,0.1839503523587873,0.2103305017491015,0.11816891154400352,0.055426774573854205,0.5756541110215211,-14.956128291683738,-9.996997597992651,102.9086996841781,107.91230787506585
6:189:4,400,0.09052281434426204,0.07258839820359106,0.05056487749745514,0.07361542129755339,0.15543940845711357,0.1838144308772943,0.17880953227406715,0.20419315970811291,0.11468879030017391,0.05296059537445295,0.558249756865495,-15.358134494468764,-10.672510765647848,98.83695504388024,117.53694566181638
6:137:14,400,0.08892665780190091,0.07201528558862769,0.05476802683534275,0.07575812991534593,0.14012223114441305,0.16398340800093142,0.16013387501375442,0.1813120782092083,0.11821789454242591,0.06294238190212935,0.4915281863637645,-16.157734760188625,-11.516241372681506,97.60042246187732,97.21593403917439
6:182:21,400,0.08648715447689227,0.07086272800760161,0.04776703977509351,0.07065761370341347,0.16513637231484002,0.20116590947541202,0.19664088719824352,0.22192166878737823,0.11003809264736404,0.04653163491930968,0.607238128617945,-14.53110201173188,-10.132058857143743,102.62941529380497,118.53652546365612
7:173:16,400,0.08870603090867107,0.07186781695066405,0.05046014762620353,0.07228242203143787,0.15027171007361978,0.17869503429471406,0.173914452062556,0.1969138660849988,0.1150052866907259,0.053131079037102825,0.5496783777899797,-15.463061810130235,-10.752943939102753,102.32722223222919,115.6872933713285
7:282:22,400,0.08990128909580487,0.07171041234498486,0.05072889385152986,0.07354768192958772,0.15647565299706276,0.1872549644989342,0.18014148187915124,0.206809303060656,0.11300062227550081,0.05183117992238809,0.5595456345884157,-15.250461003370942,-10.736981441665087,102.873756029924,118.08365250521543
7:77:18,400,0.09072986444806563,0.07370941684551317,0.04786449074479587,0.07247184141268055,0.19179578942530434,0.24004621675419424,0.2308835642027267,0.2658143521407313,0.12984675877508778,0.05389518797939649,0.6523166789312702,-14.893742641157484,-9.933761248401753,103.71406067418835,115.28646362422897
7:270:2,400,0.09408879534002004,0.07792387195177537,0.058807891187887915,0.08245435870213552,0.15827295431550853,0.18803511800494543,0.180569772447717,0.20826041618440302,0.1429823309029925,0.07131064671909253,0.5079665253303802,-15.51563181557323,-10.95818825737124,103.09780767570605,86.01370371934037
