ID,TrSP,A,GS,RS,D,H,SI,Stem,Branches,Foliage,Tree_roots,GFF,Understory,Snags,Logs,Coarse_branches,Fine_litter
7:199:19,PISY,51,297,0.7,24,22,0,60.488228751682,4.38503546056277,2.13606962333281,14.160575754897,0.263232153978293,1.03455005408261,3.60489398938205,1.11390448785519,1.20486859597167,5.27613840355059
2:108:1,PISY,52,340,0.8,22,22,1,69.8658912435858,4.86998041032141,2.67668199709686,17.9499132740219,0.198099816825084,0.83719874936338,3.32420933548927,1.02722919960088,1.42956273773644,7.76972682203059
4:186:7,PISY,41,270,0.8,22,20,2,55.1608369307592,4.78798443904971,3.23625907517566,16.503728528066,0.180379675867808,0.462933696934834,3.54645128000611,0.951997906229845,1.85212299612088,8.58184883640694
3:248:16,PISY,70,320,0.7,32,26,1,65.2997423066309,4.04837139677482,1.92959853418858,16.1526387361003,0.309623073487492,1.54977035851839,5.02239447156688,1.36569392186671,0.555727825327859,5.72715348789563
5:61:7,PISY,78,430,0.8,36,25,0,86.7982391787859,4.90410450883445,1.87308633930841,18.6861648934625,0.228459704499941,1.92938275243437,6.5292632740388,1.2834257233565,0.301446416526059,6.27750040223735
7:39:5,PISY,50,180,0.5,20,18,1,36.5931196841237,2.94510643506152,1.55939989686073,10.1569008459114,0.569898652086931,0.990309124521243,2.7225554712346,1.05492586381581,0.485455560468896,5.36633021651213
7:307:16,PISY,60,250,0.7,28,22,1,51.273243298931,3.40845506165054,1.77106264920444,12.9931290904156,0.290565452551821,1.19670776491154,4.57571726395665,1.15677772481953,0.974156318998439,5.60657303423866
3:147:34,PISY,55,140,0.7,16,13,0,28.5499068872751,1.96196003255626,0.924504710875391,6.57757463526026,0.272519701395383,1.1902765515765,2.75179947884241,0.662794797859293,1.05860963562682,5.05480328577072
7:91:12,PISY,60,337,0.9,22,19,1,69.450095194415,4.20092236749062,2.09365194641625,17.1883093394996,0.157684205378609,0.972511926684044,3.84974382939726,0.866950402785235,0.909378651053225,9.30170385155506
2:47:30,PISY,61,370,0.75,24,23,0,75.5279025044427,4.7719259538025796,2.13154889421203,16.9261137405011,0.242240671641138,1.36533606272092,3.59583329986448,1.1190768370552,0.870134843867253,6.20720965359787
5:34:12,PISY,63,310,0.9,24,18,0,63.4563609485048,3.66711632981474,1.54864339670581,13.9251492422884,0.156906111908662,1.22966155871437,4.56913930696503,0.848231771910125,0.687173239808437,7.13133519742001
4:187:2,PISY,53,390,0.8,26,23,2,80.5664482714876,5.63410363484873,3.45695754176825,22.6597936313642,0.204238722360875,0.763952178475242,4.17653424312632,1.10878612652923,1.54571170499002,10.2198361476558
2:127:19,PISY,80,460,0.8,28,26,1,93.1809163045283,5.35090511763374,2.30935582278429,22.382894076048,0.236532306209392,1.72282814136149,4.30974970956187,1.24515365931021,0.295225941451392,8.31897937568541
2:9:25,PISY,65,320,0.7,28,25,1,65.5110042766173,4.18267337819267,2.08213139490955,16.3795470966767,0.300538970874227,1.37262885603858,4.19529897266205,1.2810106629934,0.750924488559346,6.08696963481452
1:61:9,PISY,65,270,0.8,26,21,1,55.4199568617795,3.38306440229782,1.66565006442343,13.6553644504914,0.218453693906482,1.24465922445075,4.44265251602373,1.03114553920337,0.805669661398333,6.46626659441215
7:133:9,PISY,53,290,0.85,20,18,1,59.6815244434904,4.00526508577027,2.15464464547583,15.1929237697573,0.172171730937756,0.822271189713377,3.36811378314136,0.832168499664762,1.32268378195082,8.64575423771399
4:132:5,PISY,62,380,0.8,28,23,1,78.0976851992812,4.87729696927941,2.46409788063156,19.3920118082998,0.214185376400282,1.14869166167122,4.68387991018356,1.12910162048502,0.94685029376143,8.0477788186608
7:120:22,PISY,43,290,1,18,18,1,59.37305886317,4.37179704505862,2.39292266448184,15.7444198277071,0.102917512872079,0.460633210778873,3.05423836060035,0.754138211909878,1.06875802376667,8.71709884317996
3:372:6,PISY,50,70,0.6,16,9,2,14.3574893389343,1.13983598844384,0.714202614994753,4.24239617701413,0.389649314481485,0.820061831839854,3.32053447599875,0.529496426463796,1.11203974569705,6.37918253088719
4:296:10,PISY,66,260,0.9,18,17,1,53.4558862474161,3.08481237440376,1.46019660922097,13.0226917952621,0.164119831865728,1.14424098076641,3.04375286349497,0.755257984634261,0.662057149096828,8.41240351913279
2:40:5,PISY,60,260,0.7,28,22,2,53.5881919263071,3.62314716813642,2.11914524641712,14.9268421423119,0.296950098675406,1.053910837141,4.57571726395665,1.15677772481953,1.08666061270578,7.17310698780591
7:127:2,PISY,45,210,0.8,20,17,1,42.9268996367019,3.36196433429053,1.95609062002893,11.4067199738087,0.184890949103514,0.63371833588604,3.41730752989066,0.816904123159122,1.64606030721326,6.73902331476117
1:72:14,PISY,55,340,0.7,27,23,1,69.7417024535687,4.88957726840136,2.65021853875937,17.9695035352105,0.279616284192761,1.02418586316207,4.19679010814334,1.18791628357381,1.20469011320304,7.22109910078146
2:248:18,PISY,60,340,0.8,24,21,1,69.9145937485015,4.44364144005983,2.2836770107413,17.459840914991,0.211204211709761,1.08513918530584,3.92523233381672,1.01112128157655,1.0451759179971,8.19370272157908
4:128:2,PISY,61,340,0.8,24,21,1,69.8979785196299,4.40263838076209,2.24339519752165,17.4046973697476,0.212708694128534,1.11686219823735,3.92523233381672,1.01112128157655,0.995717655131007,8.19370272157908
2:43:1,PISY,60,310,0.8,24,22,3,64.3359402410665,4.22028563878072,2.70494994434085,19.1682960114625,0.21994745252346,0.856048648437009,3.80318339743945,1.04936253188834,1.28165447667573,10.3575891638676
2:320:19,PISY,50,250,0.9,16,15,2,51.6882512807899,3.59160540841902,2.19064366581792,14.5921340799566,0.14840669691661,0.613638035768104,2.76175588187661,0.664026700704008,1.46538010508282,11.7995598696603
7:86:16,PISY,58,339,0.8,24,22,3,70.3737293709917,4.70782016044511,3.06907992446092,21.0983819754425,0.216724839370168,0.806300806919753,3.80318339743945,1.04936253188834,1.40398685958439,11.3265249243584
2:64:27,PISY,55,300,0.7,26,21,0,61.1783719013038,4.20420006976341,1.98108152330441,14.0948027898434,0.272519701395383,1.1902765515765,4.21102262980785,1.09456704317772,1.05860963562682,5.62330321529526
4:133:5,PISY,63,400,0.8,28,24,2,82.5850392516894,5.20347724822499,2.93390494991668,22.4800110703523,0.220372954578613,1.03973524760429,4.55046228505285,1.16810743559997,1.00257219577666,9.86557233890138
7:86:10,PISY,58,281,0.7,24,20,2,57.9323286655792,3.99446813345687,2.37631854599237,16.2378509578799,0.292599262678519,0.992664564052273,3.84590126934609,1.03232534724499,1.1903810651245,8.87106800337178
4:218:3,PISY,53,440,0.9,24,23,0,90.1185859726064,5.78019147658013,2.65635306295667,20.433636104056,0.145418496966268,0.903501760406442,3.86857685896391,1.03149206096565,1.0594466160165,7.38154661508936
2:285:25,PISY,51,220,0.7,22,20,2,45.291743719461,3.40694153218997,2.14880385389505,13.0342907096371,0.276021550150414,0.783967696592003,3.36154730574858,1.01055136614218,1.52948232392423,6.99261757040566
