OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
1792,3:141:3,1792,322,32200,-15.528311829310933
1793,3:141:17,1793,264,26400,-15.814956282140963
1794,3:141:22,1794,288,28800,-15.592824297540645
1795,3:141:27,1795,299,29900,-15.494562424426201
1796,3:141:31,1796,141,14100,-15.765141214237383
1797,3:137:4,1797,95,9500,-15.056123900169796
1798,3:134:20,1798,48,4800,-14.790172599512768
1799,3:134:17,1799,143,14300,-14.634699017978038
1800,3:134:16,1800,154,15400,-14.253163840142648
1801,3:134:15,1801,228,22800,-14.602361914586282
1802,3:134:14,1802,495,49500,-14.793667723867353
1803,3:134:11,1803,508,50800,-14.710513034290923
1804,3:134:10,1804,409,40900,-15.133170834775237
1805,3:134:9,1805,327,32700,-15.063482030320417
1806,3:134:1,1806,235,23500,-14.866637190233051
1807,3:134:2,1807,432,43200,-15.019514791621233
1808,3:134:3,1808,247,24700,-14.921576010475393
1809,3:134:13,1809,93,9300,-14.958409384422044
1810,3:134:18,1810,44,4400,-15.124436840727423
1811,3:134:7,1811,120,12000,-14.921072527460915
1812,3:134:8,1812,212,21200,-15.429458411595906
1813,3:134:4,1813,624,62400,-15.51591080386442
1814,3:133:3,1814,134,13400,-14.795501645643636
1815,3:133:2,1815,258,25800,-14.84751117253893
1816,3:133:1,1816,350,35000,-14.983892870716673
1817,3:133:4,1817,548,54800,-15.15591438281138
1818,3:133:6,1818,144,14400,-14.712221627988605
1819,3:133:9,1819,39,3900,-14.62144286684371
1820,3:133:5,1820,1019,101900,-14.929585382533512
1821,3:133:8,1821,22,2200,-14.614672935480574
1822,3:133:11,1822,667,66700,-14.86466351036077
1823,3:132:2,1823,604,60400,-14.947805039392446
1824,3:132:3,1824,150,15000,-14.44113148756011
1825,3:132:9,1825,80,8000,-15.00436027354269
1826,3:132:4,1826,305,30500,-14.904921941159857
1827,3:132:1,1827,660,66000,-14.937263904338366
1828,3:132:5,1828,331,33100,-15.004119937203328
1829,3:132:6,1829,106,10600,-14.740439980825924
1830,3:132:7,1830,255,25500,-14.942099050289087
1831,3:132:10,1831,527,52700,-14.946128104894827
1832,3:132:8,1832,795,79500,-14.890123647914743
1833,3:132:12,1833,180,18000,-14.941360490866197
1834,3:132:11,1834,1036,103600,-14.682236754822576
1835,3:131:13,1835,121,12100,-15.014059333243717
1836,3:131:10,1836,478,47800,-15.07517660577308
1837,3:131:9,1837,700,70000,-14.878608161843237
1838,3:131:5,1838,226,22600,-14.93163075629753
1839,3:131:6,1839,76,7600,-15.16441308630878
1840,3:131:3,1840,405,40500,-15.021651377905483
1841,3:131:1,1841,200,20000,-15.177918986644297
1842,3:131:16,1842,169,16900,-15.523689671044812
1843,3:131:2,1843,411,41100,-15.166235559531748
1844,3:131:4,1844,200,20000,-14.808849685001043
1845,3:131:7,1845,240,24000,-15.04951463237305
1846,3:131:11,1846,292,29200,-15.25715695112279
1847,3:131:14,1847,436,43600,-15.006293619707922
1848,3:131:8,1848,416,41600,-14.984633407206593
1849,3:131:12,1849,846,84600,-15.121026111051677
1850,3:133:10,1850,1738,173800,-14.765530480295105
1851,3:122:26,1851,1126,112600,-15.672929954247255
1852,3:122:41,1852,746,74600,-15.599690664500239
1853,3:122:33,1853,609,60900,-15.526892590605838
1854,3:134:12,1854,1683,168300,-15.055127036198217
1855,3:139:1,1855,127,12700,-15.35533883729571
1856,4:43:5,1856,189,18900,-14.974013838056
1857,4:43:4,1857,215,21500,-15.045722875092528
1858,4:43:2,1858,290,29000,-14.729336742087028
1859,4:44:12,1859,277,27700,-15.150362348340641
1860,4:109:15,1860,72,7200,-15.055547397762389
1861,4:109:3,1861,1430,143000,-14.766639018559886
1862,4:109:2,1862,1479,147900,-14.605463827909126
1863,4:97:3,1863,1432,143200,-14.905492725972255
1864,4:79:12,1864,185,18500,-14.746303213225643
1865,4:79:11,1865,210,21000,-14.779175602113362
1866,4:79:10,1866,120,12000,-14.71127138350285
1867,4:79:9,1867,110,11000,-14.6834977501893
1868,4:79:8,1868,173,17300,-14.746706508146346
1869,4:79:3,1869,1153,115300,-14.920597372761236
1870,4:63:6,1870,39,3900,-15.408425185570113
1871,4:63:5,1871,528,52800,-15.430280994142539
1872,4:63:10,1872,252,25200,-15.649071821796545
1873,4:63:23,1873,376,37600,-15.205850963301298
1874,4:63:19,1874,310,31000,-14.91702624018118
1875,4:63:18,1875,227,22700,-15.220343642297452
1876,4:63:15,1876,324,32400,-14.907996242975276
1877,4:62:9,1877,2125,212500,-14.80203002266754
1878,4:62:15,1878,327,32700,-14.930055937026012
1879,4:62:19,1879,136,13600,-14.765409512002933
