OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
746,2:69:28,746,251,25100,-0.217749573722165
747,2:154:32,747,126,12600,-6.02583916618326
748,2:154:5,748,106,10600,-8.362662282789627
749,2:154:31,749,312,31200,-7.424827783203653
750,2:154:21,750,172,17200,-8.18058196683599
751,2:154:22,751,299,29900,-10.618136738590774
752,2:154:4,752,63,6300,-5.973747434041588
753,2:154:20,753,118,11800,-8.601927696746314
754,2:154:16,754,46,4600,-1.919782784362359
755,2:154:29,755,199,19900,-14.130730790322875
756,2:154:9,756,380,38000,-2.359109990816157
757,2:154:28,757,44,4400,-10.571439159764614
758,2:154:25,758,1428,142800,-8.80473770065936
759,2:154:14,759,695,69500,-3.313031036206052
760,2:154:19,760,1752,175200,-4.093849760620218
761,2:154:34,761,276,27600,-8.04427023611205
762,2:154:26,762,242,24200,-6.645846844607609
763,2:154:33,763,42,4200,-5.207201505791938
764,2:154:27,764,547,54700,-9.98420326662139
765,2:154:23,765,607,60700,-4.833837500704008
766,2:143:1,766,1632,163200,-1.464952646784599
767,2:143:11,767,161,16100,0.896632410288527
768,2:144:11,768,1796,179600,-4.434205829146258
769,2:144:1,769,280,28000,-5.332211441973561
770,2:77:31,770,19,1900,-0.37722774512265
771,2:141:6,771,112,11200,0.5175219414371
772,2:141:21,772,62,6200,-3.899009250851347
773,2:141:22,773,127,12700,-1.34211845718112
774,2:141:30,774,79,7900,-1.540860929474948
775,2:141:23,775,449,44900,-2.883140540306059
776,2:141:35,776,478,47800,-9.79955288328706
777,2:141:24,777,100,10000,-5.537927099225408
778,2:141:31,778,286,28600,-13.05500516845601
779,2:141:25,779,321,32100,-13.870836944885648
780,2:141:28,780,262,26200,-11.153021516252206
781,2:141:34,781,161,16100,-11.608414661819673
782,2:141:20,782,592,59200,-5.530174687911782
783,2:141:10,783,249,24900,-7.913694665802519
784,2:142:15,784,346,34600,-4.308902162053064
785,2:142:16,785,333,33300,-8.594080575769219
786,2:142:7,786,1368,136800,-1.672831469847704
787,2:142:14,787,898,89800,-4.785797122302723
788,2:155:5,788,340,34000,-19.605951504687134
789,2:155:26,789,185,18500,-7.004628588430421
790,2:155:6,790,726,72600,-9.369680392419134
791,2:94:32,791,359,35900,-10.729660335028061
792,2:140:10,792,87,8700,-0.939621048878254
793,2:140:12,793,443,44300,-6.612685235310563
794,2:140:22,794,140,14000,-1.246626372573034
795,2:140:23,795,434,43400,0.0654195057232
796,2:140:26,796,183,18300,-0.65750418871911
797,2:140:27,797,52,5200,-3.644451462681864
798,2:140:30,798,829,82900,-0.150060094057585
799,2:140:31,799,63,6300,-6.161313511359046
800,2:140:19,800,139,13900,1.953803332834424
801,2:140:21,801,194,19400,-4.626491391097188
802,2:140:3,802,420,42000,0.433792001038774
803,2:139:11,803,170,17000,-11.995851804245365
804,2:139:17,804,315,31500,-4.175741797942388
805,2:139:9,805,961,96100,-4.097573422726384
806,2:139:18,806,207,20700,-4.189632822674858
807,2:139:24,807,86,8600,0.617757866000017
808,2:139:12,808,408,40800,-5.469409537234482
809,2:139:2,809,212,21200,-9.085403562023561
810,2:139:3,810,269,26900,-8.956664072612703
811,2:139:7,811,220,22000,-6.5603806686005814
812,2:139:33,812,286,28600,-1.850421377911103
813,2:120:10,813,137,13700,1.421284099083693
814,2:120:9,814,189,18900,-2.531044546603975
815,2:119:34,815,77,7700,-2.460227827526884
816,2:119:6,816,153,15300,-0.628601192890347
817,2:119:16,817,86,8600,-1.91013040179181
818,2:119:26,818,318,31800,-2.019089081202583
819,2:119:41,819,165,16500,-0.668976800000095
820,2:119:7,820,52,5200,0.454924395660237
821,2:119:8,821,149,14900,-5.524660223279232
822,2:119:31,822,96,9600,0.088614577840507
823,2:119:17,823,447,44700,-3.614162250014667
824,2:119:27,824,99,9900,-0.117323039606362
825,2:119:9,825,147,14700,-2.925323003827824
826,2:119:18,826,128,12800,-3.96020315488676
827,2:119:36,827,95,9500,-1.692313831209734
828,2:119:11,828,121,12100,-0.49572738391891
829,2:78:24,829,572,57200,-2.538829159932686
830,2:78:6,830,54,5400,0.066819987450494
831,2:78:38,831,70,7000,-1.659447419359537
832,2:78:31,832,593,59300,-1.466236064218246
833,2:78:39,833,108,10800,-0.639078286586147
834,2:78:26,834,218,21800,-1.470537097547583
835,2:78:21,835,238,23800,-4.824886014026851
836,2:122:22,836,271,27100,-3.226619690653651
