OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
2263,4:92:4,2263,926,92600,-10.323986113366992
2264,4:121:2,2264,470,47000,-10.050396909168121
2265,4:121:3,2265,764,76400,-10.355041248709595
2266,4:121:10,2266,81,8100,-10.778713417750438
2267,4:121:11,2267,536,53600,-11.167445064679029
2268,4:121:12,2268,207,20700,-10.851576786896757
2269,4:121:8,2269,1327,132700,-10.364258907310985
2270,4:121:17,2270,284,28400,-10.520125187895722
2271,4:121:16,2271,451,45100,-10.593683408875386
2272,4:121:20,2272,135,13500,-10.349362226136684
2273,4:121:21,2273,1345,134500,-10.060751666416584
2274,4:135:1,2274,755,75500,-10.653316568576503
2275,4:135:19,2275,125,12500,-10.546834621471877
2276,4:135:22,2276,998,99800,-10.39897091531359
2277,4:135:17,2277,313,31300,-10.10195521180125
2278,4:135:16,2278,521,52100,-10.27173619995452
2279,4:135:15,2279,70,7000,-10.74291972574305
2280,4:135:14,2280,148,14800,-10.769265430468629
2281,4:135:13,2281,291,29100,-10.49287088728911
2282,4:135:12,2282,102,10200,-10.900576454577457
2283,4:135:10,2283,436,43600,-10.671137505999344
2284,4:135:4,2284,185,18500,-10.868179662680388
2285,4:135:8,2285,86,8600,-10.931255218116645
2286,4:135:5,2286,174,17400,-10.4773001820977
2287,4:135:9,2287,184,18400,-10.299868600325674
2288,4:135:7,2288,1133,113300,-10.82460373034288
2289,4:18:7,2289,68,6800,-10.111531900618147
2290,4:18:8,2290,252,25200,-10.320217853053451
2291,4:19:1,2291,541,54100,-10.297982519796733
2292,4:19:2,2292,573,57300,-10.250845556450978
2293,4:19:3,2293,209,20900,-10.060197167425644
2294,4:19:4,2294,144,14400,-10.200543656728424
2295,4:19:6,2295,204,20400,-10.76774831559754
2296,4:19:8,2296,500,50000,-10.268254848804172
2297,4:19:7,2297,600,60000,-10.407928700129744
2298,4:21:7,2298,105,10500,-10.346389686344432
2299,4:21:9,2299,707,70700,-9.961065907240206
2300,4:21:8,2300,761,76100,-10.06423902596202
2301,4:45:1,2301,184,18400,-10.482357442696419
2302,4:45:2,2302,202,20200,-10.292889277278334
2303,4:45:5,2303,1015,101500,-10.493134794858717
2304,4:46:1,2304,679,67900,-10.44365418759153
2305,4:46:6,2305,903,90300,-10.59970175746541
2306,4:46:7,2306,741,74100,-10.766873427841238
2307,4:46:4,2307,364,36400,-10.224420858257936
2308,4:64:1,2308,1084,108400,-10.641707665813618
2309,4:64:3,2309,93,9300,-10.267594357959835
2310,4:64:9,2310,195,19500,-10.579561955129321
2311,4:64:5,2311,2443,244300,-10.571529509290341
2312,4:64:12,2312,118,11800,-10.860245876095778
2313,4:64:11,2313,447,44700,-10.392875415302637
2314,4:65:2,2314,77,7700,-10.705305149218725
2315,4:65:3,2315,517,51700,-11.002005612253363
2316,4:65:5,2316,748,74800,-10.326142257000289
2317,4:65:6,2317,493,49300,-10.535945660563033
2318,4:65:7,2318,161,16100,-10.362788343350722
2319,4:65:8,2319,474,47400,-10.412763550995138
2320,4:66:2,2320,376,37600,-10.789092554951946
2321,4:66:5,2321,121,12100,-10.712158068359834
2322,4:66:8,2322,74,7400,-10.403203106934896
2323,4:66:9,2323,32,3200,-10.55927256484615
2324,4:67:1,2324,1005,100500,-10.843973888366868
2325,4:67:3,2325,604,60400,-10.680761225129636
